Y1	1	0.0
O1	4	2.397
O1	4	2.472
Al2	1	3.002
Al2	1	3.003
Al1	4	3.357
Al2	4	3.677
Y1	4	3.677
O1	4	3.723
O1	4	3.958
O1	4	4.286
O1	4	4.649
O1	4	4.839
O1	4	4.876
O1	4	4.895
O1	4	5.076
Al1	4	5.413
O1	4	5.599
Al2	8	5.617
Y1	8	5.617
O1	4	5.958
Al2	4	6.005
Y1	2	6.005
O1	4	6.296
O1	4	6.452
O1	12	6.631
Y1	8	6.714
O1	4	6.752
O1	4	6.792
O1	8	6.871
Al1	8	6.88
Al2	4	7.041
Y1	4	7.041
O1	4	7.192
O1	4	7.378
O1	8	7.426
O1	8	7.451
O1	4	7.594
O1	4	7.863
Al1	12	8.084
O1	4	8.122
O1	4	8.133
O1	4	8.166
Al2	8	8.223
Y1	8	8.223
O1	4	8.384
O1	4	8.427
O1	4	8.47
O1	4	8.48
Al2	8	8.492
Y1	4	8.492
O1	8	8.711
O1	4	8.732
O1	8	8.824
O1	4	8.885
O1	4	8.926
O1	4	8.946
Al2	1	9.007
Al2	9	9.008
O1	4	9.066
O1	4	9.086
Al1	4	9.132
Al2	12	9.254
Y1	12	9.254
O1	4	9.273
O1	4	9.282
O1	4	9.456
O1	4	9.569
O1	4	9.597
O1	8	9.682
O1	4	9.774
O1	4	9.802
O1	8	9.875
O1	4	9.903
O1	4	9.921
O1	4	10.011
Al1	12	10.071
O1	4	10.101
O1	4	10.11
O1	4	10.137
O1	4	10.172
Al2	8	10.182
Y1	8	10.182
O1	8	10.304
O1	4	10.374
Y1	8	10.401
O1	4	10.46
O1	4	10.572
O1	4	10.597
O1	4	10.674
O1	8	10.691
Y1	8	10.826
O1	4	10.85
O1	4	10.891
Al1	12	10.929
O1	4	10.932
O1	4	10.974
Al2	16	11.032
Y1	16	11.032
O1	4	11.064
O1	4	11.201
O1	4	11.297
O1	8	11.305
O1	4	11.409
O1	4	11.44
O1	12	11.487
O1	8	11.581
O1	4	11.597
O1	4	11.635
O1	4	11.682
Al1	12	11.725
O1	4	11.743
O1	8	11.766
O1	4	11.82
Al2	16	11.821
Y1	16	11.821
O1	4	11.964
O1	4	11.979
O1	4	11.994
Y1	6	12.01
O1	4	12.062
O1	12	12.069
O1	4	12.084
O1	4	12.106
O1	4	12.114
O1	4	12.158
O1	8	12.24
O1	4	12.247
O1	8	12.291
O1	4	12.32
Al2	16	12.38
O1	12	12.422
Al1	16	12.47
O1	4	12.473
O1	4	12.509
Al2	8	12.56
Y1	8	12.56
O1	4	12.574
O1	4	12.631
O1	4	12.638
O1	4	12.709
O1	4	12.724
O1	4	12.871
O1	4	12.892
O1	8	12.92
O1	4	12.948
O1	4	12.969
O1	4	13.128
Al1	16	13.173
O1	4	13.224
O1	4	13.251
O1	4	13.258
Al2	8	13.259
Y1	8	13.259
O1	4	13.292
O1	4	13.319
O1	8	13.359
O1	4	13.4
O1	4	13.407
O1	8	13.42
Al2	16	13.428
Y1	8	13.428
O1	4	13.494
O1	4	13.52
O1	12	13.547
O1	4	13.56
O1	4	13.726
Y1	16	13.759
O1	4	13.778
O1	8	13.791
Al1	8	13.841
O1	8	13.863
O1	4	13.876
Al2	20	13.922
Y1	20	13.922
O1	8	13.941
O1	8	13.979
O1	4	13.999
O1	4	14.069
O1	8	14.089
O1	4	14.095
O1	4	14.133
O1	8	14.146
O1	8	14.152
O1	4	14.191
O1	4	14.21
O1	4	14.286
O1	4	14.355
O1	4	14.361
O1	12	14.399
O1	4	14.424
O1	4	14.436
O1	4	14.442
Al1	8	14.478
O1	8	14.492
O1	4	14.511
O1	4	14.542
Al2	16	14.555
Y1	16	14.555
O1	4	14.585
O1	4	14.61
O1	8	14.672
O1	4	14.696
Al2	16	14.709
Y1	8	14.709
O1	4	14.788
O1	4	14.831
O1	4	14.94
O1	4	14.964
O1	4	14.976
Al2	7	15.012
Al2	3	15.013
O1	4	15.036
O1	8	15.042
O1	4	15.048
Al1	28	15.087
O1	8	15.125
Al2	8	15.162
Y1	8	15.162
O1	8	15.185
O1	4	15.191
O1	8	15.203
O1	4	15.221
O1	8	15.226
O1	4	15.28
O1	12	15.286
O1	4	15.356
O1	4	15.461
O1	8	15.496
O1	4	15.514
O1	4	15.554
O1	4	15.566
O1	8	15.607
O1	12	15.635
Al1	12	15.674
O1	4	15.693
O1	4	15.699
O1	4	15.704
O1	8	15.716
O1	4	15.727
Al2	24	15.745
Y1	24	15.745
O1	4	15.773
O1	4	15.796
O1	4	15.864
O1	8	15.932
O1	4	15.989
O1	12	16.0
O1	4	16.017
O1	4	16.068
O1	8	16.101
O1	8	16.135
O1	8	16.14
O1	4	16.152
Y1	24	16.169
O1	4	16.191
O1	4	16.213
O1	8	16.23
O1	8	16.235
Al1	20	16.239
O1	4	16.268
Al2	12	16.308
Y1	12	16.308
O1	4	16.335
O1	4	16.357
O1	4	16.417
O1	4	16.461
O1	8	16.478
O1	4	16.494
O1	4	16.538
O1	12	16.549
O1	4	16.619
O1	4	16.635
O1	4	16.673
O1	8	16.684
O1	8	16.695
O1	4	16.717
O1	4	16.738
O1	4	16.749
O1	4	16.754
Al1	24	16.784
O1	8	16.797
O1	4	16.835
O1	4	16.84
Al2	24	16.851
O1	4	16.851
Y1	24	16.851
O1	4	16.936
O1	8	16.942
O1	8	16.963
Y1	12	16.985
O1	4	17.021
O1	4	17.026
O1	4	17.053
O1	4	17.058
O1	8	17.095
O1	12	17.137
O1	4	17.143
O1	4	17.232
Al2	16	17.248
Al1	8	17.313
O1	4	17.315
O1	4	17.341
O1	4	17.362
Al2	28	17.378
Y1	28	17.378
O1	8	17.414
O1	4	17.424
O1	4	17.429
O1	8	17.435
O1	4	17.44
O1	4	17.517
O1	4	17.522
O1	4	17.538
O1	4	17.604
O1	12	17.61
O1	8	17.62
O1	4	17.635
O1	8	17.64
O1	4	17.681
O1	8	17.717
O1	4	17.727
O1	8	17.732
O1	4	17.808
Al1	16	17.826
O1	4	17.864
Al2	8	17.889
O1	8	17.889
Y1	8	17.889
O1	4	17.904
O1	12	17.914
O1	4	17.934
O1	8	17.959
O1	4	17.964
O1	4	17.974
O1	8	17.984
O1	8	17.994
O1	4	18.009
Al2	20	18.015
Y1	10	18.015
O1	4	18.039
O1	8	18.054
O1	4	18.064
O1	12	18.084
O1	4	18.104
O1	8	18.124
O1	4	18.174
O1	4	18.233
O1	8	18.238
Y1	8	18.263
O1	8	18.302
Al1	28	18.325
O1	4	18.352
Al2	20	18.386
Y1	20	18.386
O1	4	18.401
O1	4	18.41
O1	12	18.42
O1	4	18.498
O1	4	18.513
O1	8	18.518
O1	4	18.537
O1	4	18.547
O1	12	18.552
O1	4	18.562
O1	4	18.591
O1	4	18.605
O1	4	18.639
O1	4	18.75
O1	12	18.769
Al1	12	18.811
O1	4	18.822
O1	4	18.827
O1	4	18.832
O1	12	18.836
O1	4	18.846
O1	12	18.856
O1	4	18.86
Al2	16	18.87
Y1	16	18.87
O1	4	18.908
O1	4	18.913
O1	4	18.922
O1	4	18.941
O1	4	18.951
O1	4	18.984
Al2	16	18.989
Y1	8	18.989
O1	8	19.027
O1	4	19.088
O1	4	19.098
O1	4	19.126
O1	12	19.14
O1	4	19.173
Al2	32	19.225
O1	4	19.244
O1	8	19.248
O1	8	19.262
O1	4	19.281
Al1	16	19.284
O1	4	19.309
O1	4	19.323
O1	4	19.328
O1	4	19.337
Al2	20	19.342
Y1	20	19.342
O1	4	19.351
O1	4	19.356
O1	8	19.365
O1	12	19.374
O1	4	19.388
O1	4	19.393
O1	12	19.421
O1	4	19.509
O1	4	19.573
O1	4	19.583
O1	4	19.596
O1	4	19.61
O1	4	19.615
O1	4	19.619
O1	8	19.661
O1	12	19.67
O1	4	19.688
O1	4	19.716
O1	12	19.734
Al1	28	19.746
O1	4	19.77
O1	4	19.798
Al2	24	19.803
Y1	24	19.803
O1	4	19.816
O1	4	19.839
O1	4	19.843
O1	4	19.866
O1	12	19.875
O1	4	19.898
O1	4	19.902
Y1	24	19.916
O1	4	19.934
